Clr,Dedr,Age,Brt,Dwt,Value,HP,Year,Code1
125000,75000,0,17050,28000,13600000,7953,2002,1
2202347,150000,11,13049,13930,18000000,20338,2002,2
170000,100000,21,45067,75395,6700000,16500,2003,1
190658,100000,21,45777,78532,6700000,15400,2003,1
231978,150000,16,23306,35532,14000000,13134,2003,1
250000,150000,5,37695,72495,25000000,13900,2003,1
359118,250000,8,34364,44236,24000000,15638,2003,2
403050,250000,8,34364,44285,24000000,15600,2003,1
800000,250000,3,30745,39500,30000000,15226,2003,2
225000,175000,10,91188,172972,12480000,18880,2003,1
654000,150000,17,23271,34752,12000000,11284,2003,1
497749,75000,7,7451,10812,9600000,9992,2003,2
125000,65000,11,13237,17175,5400000,10809,2003,2
372578,125000,6,85315,167102,28800000,22902,2003,1
604257,100000,8,81272,161010,22400000,19487,2003,1
1050000,100000,7,17977,28149,10000000,7770,2003,1
418661,50000,6,39000,73300,16800000,12100,2003,1
476500,100000,13,14406,16950,30000000,15288,2003,2
175000,100000,12,14406,16950,18000000,13758,2003,2
350000,100000,11,7944,11054,11000000,14592,2003,2
331415,100000,11,7944,11155,11000000,16212,2003,2
210475,100000,11,7944,11155,11000000,16212,2003,2
184150,100000,11,7944,11155,11000000,16212,2003,2
145500,100000,11,5084,6000,4250000,5495,2003,2
740000,90000,8,26449,47639,16100000,9976,2003,1
135620,100000,10,45993,83155,19000000,10900,2003,1
160900,75000,19,13277,17300,5600000,8000,2003,2
113777,50000,20,17210,22351,3850000,15225,2003,2
693604,125000,17,40772,12893,15000000,11950,2003,2
344962,150000,23,89421,129009,33333500,40999,2003,1
460581,175000,18,44921,76297,7600000,15188,2003,1
254018,175000,18,45278,76273,7600000,15200,2003,1
500000,150000,7,85706,164303,31000000,21658,2003,1
141391,50000,22,50681,28676,37000000,18353,2003,2
304876,50000,21,50681,28566,37000000,18355,2003,2
108879,50000,20,28116,12466,26800000,10800,2003,2
152785,50000,0,57112,22620,44000000,22187,2003,2
480969,100000,11,41189,74928,16500000,9850,2003,1
211519,92500,1,30049,51000,20000000,11665,2003,1
190000,90000,20,6136,6666,4000000,7890,2003,2
98947,50000,18,7857,11546,19100000,3800,2003,1
95253,50000,18,7857,11546,19100000,3800,2003,1
215000,50000,18,7857,11546,19100000,3800,2003,1
126282,75000,18,19385,30027,10000000,11520,2003,1
99577,50000,9,7249,7276,8000000,6933,2003,2
794584,175000,9,81120,161587,28000000,20962,2003,1
1841175,150000,14,36781,69406,12000000,9330,2003,1
308198,175000,4,87523,171997,38400000,22902,2003,1
2079439,75000,4,28074,48893,25000000,8898,2003,1
650000,100000,17,25956,45263,9800000,10300,2003,1
265000,100000,19,17056,28098,3151000,11520,2003,1
450000,150000,3,67140,39423,51400000,28468,2003,2
175000,125000,19,6930,10849,5600000,4050,2003,2
750000,500000,17,175720,364767,25000000,24858,2003,1
450000,250000,5,36008,51800,40000000,15600,2003,2
350000,250000,6,36008,51800,40000000,15662,2003,2
336086,100000,23,12688,14602,13350000,9900,2003,2
450000,250000,22,25063,38771,20000000,11900,2003,2
700000,100000,27,19426,23365,30000000,11600,2003,1
195701,135000,19,24729,41503,10500000,11200,2003,1
955000,75000,12,16722,28451,10560000,6630,2003,1
316417,250000,17,28805,45295,33400000,9880,2003,1
157390,75000,7,17209,28249,8100000,7200,2003,1
335000,250000,30,25615,9652,3000000,13200,2003,2
500000,250000,30,25615,9652,3000000,13200,2003,2
625000,250000,30,25615,9652,3000000,13200,2003,2
209750,120000,21,35417,64931,6000000,14400,2003,1
350000,300000,14,31255,47980,15000000,12796,2003,1
300000,200000,19,85504,160993,10000000,15240,2003,1
150414,100000,19,17056,27631,8000000,11520,2003,1
174444,100000,19,17056,27631,8500000,11520,2003,1
271055,100000,11,9820,10466,13000000,12460,2003,2
300000,175000,21,70803,135169,6500000,16100,2003,1
250000,175000,21,70803,135169,9600000,16100,2003,1
233750,150000,8,56164,21423,34000000,17470,2003,2
220000,150000,8,56164,20600,34000000,17470,2003,2
350000,150000,22,45365,17938,7000000,16800,2003,2
418159,250000,19,24942,42838,7000000,7965,2003,1
286651,125000,14,36616,68845,12000000,11300,2003,1
300000,250000,17,9749,17298,4530000,10769,2003,2
1275000,75000,1,16963,28378,19800000,7953,2003,1
150000,75000,8,17380,28730,11600000,7200,2003,1
510000,250000,29,19653,29602,5000000,12000,2003,1
